x1,x2,x3,x4,x5,score
1.9932,-2.982,0.9986,1.9972,-2.9972,26.91088271064898
1.993,-2.9822,0.9988,1.9968,-2.997,26.908615664813276
1.9934,-2.9821,0.9989,1.997,-2.9972,26.91092177951712
1.9927,-2.9824,0.9986,1.9967,-2.9971,26.907979809104496
1.9931,-2.9823,0.9988,1.9969,-2.997,26.90891216796733
1.9929,-2.9822,0.9987,1.9968,-2.9972,26.90931478201906
1.9928,-2.9821,0.9988,1.9969,-2.9971,26.90924367215183
1.993,-2.9823,0.9989,1.9968,-2.9972,26.909637072745628
1.9924,-2.9826,0.9984,1.9966,-2.9972,26.90741920643456
1.9926,-2.9825,0.9985,1.9968,-2.9971,26.907904976347766
1.9928,-2.9827,0.9987,1.9967,-2.9973,26.908943459990375
1.9925,-2.9824,0.9986,1.9965,-2.9972,26.90772355447759
1.9927,-2.9828,0.9988,1.9966,-2.9974,26.909126081830145
1.9922,-2.9828,0.9982,1.9964,-2.9974,26.907258209506438
1.9926,-2.9827,0.9983,1.9966,-2.9973,26.907893542638426
1.9924,-2.9825,0.9984,1.9967,-2.9972,26.907777302468784
1.9925,-2.9826,0.9985,1.9965,-2.9973,26.90788601521416
1.9923,-2.9827,0.9983,1.9965,-2.9974,26.907823660228992
1.9921,-2.9829,0.9981,1.9963,-2.9975,26.907207425460154
1.9923,-2.9829,0.9982,1.9964,-2.9976,26.908273263374177
1.9922,-2.9828,0.998,1.9962,-2.9976,26.907504193919184
1.992,-2.983,0.9981,1.9963,-2.9977,26.90805705889806
1.99215,-2.98295,0.99805,1.99625,-2.99755,26.90727613064672
1.99195,-2.98305,0.99795,1.99615,-2.99765,26.907168392692725
1.99205,-2.9831,0.998,1.9961,-2.99775,26.907661387918125
1.9919,-2.9832,0.9979,1.996,-2.9978,26.907365387637626
1.99185,-2.98315,0.99785,1.99605,-2.99785,26.907679843427143
1.9918,-2.98325,0.9978,1.99595,-2.9979,26.907536280507976
1.9917,-2.9833,0.9977,1.9958,-2.998,26.907485695949493
1.99185,-2.9831,0.99795,1.996,-2.9979,26.907967379658206
1.99195,-2.9832,0.99785,1.9961,-2.99795,26.908364226525155
1.9918,-2.98335,0.9978,1.9959,-2.99805,26.908135176123864
1.9919,-2.98325,0.9979,1.99595,-2.998,26.90824639747756
1.9917,-2.98325,0.9977,1.99595,-2.99785,26.907094912161156
1.99185,-2.98305,0.99795,1.9961,-2.9977,26.907220394691098
1.99195,-2.98315,0.99785,1.99605,-2.99775,26.90724587602918
1.9918,-2.9831,0.9979,1.996,-2.9979,26.907870659438586
1.9919,-2.9832,0.9978,1.99605,-2.99795,26.908145369742318
